"ACCURACY";"CHECKED";"CODE";"COORDINATES";"CREATEDAT";"DATE";"DESCRIPTION";"EMPTY";"NUMBER";"PHOTOS";"ROI";"TEMPERATURE";"TYPE";"UPDATEDAT";"WIND";"_ID";"__V"
"3.9000000953674316";"true";"1";"8.55104";"Thu Jun 11 16:51:28 CEST 2020";"Thu Jun 11 16:51:28 CEST 2020";"WGS 84";"false";"5";"uploads/98f41d5e-5c8c-415d-9f05-262db0639ea4.jpeg";"000000000000000000000002";"16.8";"Point";"Sun Dec 20 10:35:04 CET 2020";"0.7";"5ee244f05f2183a2eccceebc";"0"
"3.9000000953674316";"";"1";"8.5509167";"Thu Jun 11 16:56:24 CEST 2020";"Thu Jun 11 16:56:24 CEST 2020";"WGS 84";"false";"";"uploads/62b33e97-1698-4827-b4e2-25fb1a7370cc.jpeg";"000000000000000000000002";"17.2";"Point";"Mon Feb 08 09:07:42 CET 2021";"0.7";"5ee246185f2183a2eccceebd";"0"
"4.698342323303223";"";"1";"8.90487621";"Sun Jul 05 10:59:23 CEST 2020";"Sun Jul 05 10:59:23 CEST 2020";"WGS 84";"false";"";"uploads/b7a5daf0-b1ac-46f3-aeed-1af70bc3d97a.jpeg";"000000000000000000000006";"24.9";"Point";"Mon Feb 01 20:55:38 CET 2021";"2.1";"5f01966bd2e41ca86d59a6b4";"0"
"5.309909820556641";"";"1";"8.90490739";"Sun Jul 05 11:30:05 CEST 2020";"Sun Jul 05 11:30:05 CEST 2020";"WGS 84";"false";"";"uploads/e0cbcecb-101d-40d9-a2f1-d3552fba8ea4.jpeg";"000000000000000000000006";"25.8";"Point";"Sun Jul 05 11:30:05 CEST 2020";"2.1";"5f019d9dd2e41ca86d59a6b5";"0"
"9.648000717163086";"";"1";"8.9051842";"Sun Jul 05 11:49:59 CEST 2020";"Sun Jul 05 11:49:59 CEST 2020";"WGS 84";"false";"";"uploads/bf1e85b9-83b8-43da-9693-6be5ff1d978a.jpeg";"000000000000000000000006";"26.0";"Point";"Sun Jul 05 11:49:59 CEST 2020";"2.1";"5f01a247d2e41ca86d59a6b7";"0"
"3.9000000953674316";"";"1";"8.546155";"Thu Jul 09 16:33:20 CEST 2020";"Thu Jul 09 16:33:20 CEST 2020";"WGS 84";"false";"";"uploads/a6273a3b-85a2-4201-bbd7-278c07138ddb.jpeg";"000000000000000000000002";"28.4";"Point";"Thu Jul 09 16:33:20 CEST 2020";"1.3";"5f072ab0d2e41ca86d59a6b8";"0"
"4.97";"";"1";"8.661603927612306";"Thu Jul 09 20:04:44 CEST 2020";"Thu Jul 09 20:04:44 CEST 2020";"WGS 84";"false";"";"uploads/f15f66b8-caf4-40bd-a9da-5cc8a1c6bbd8.jpeg";"000000000000000000000003";"27.0";"Point";"Wed Feb 03 12:32:47 CET 2021";"0.9";"5f075c3cd2e41ca86d59a6b9";"0"
"19.315000534057617";"";"1";"9.0765861";"Mon Jul 13 17:11:52 CEST 2020";"Mon Jul 13 17:11:52 CEST 2020";"WGS 84";"false";"";"uploads/13a585dc-2646-4ff8-a20d-10df9ac5f0b3.jpeg";"000000000000000000000001";"24.8";"Point";"Mon Jul 13 17:11:52 CEST 2020";"1.8";"5f0c79b8d2e41ca86d59a6bb";"0"
"9.144000053405762";"";"1";"8.5475176";"Thu Jul 16 13:50:00 CEST 2020";"Thu Jul 16 13:50:00 CEST 2020";"WGS 84";"false";"";"uploads/4eb777cb-7665-48a3-b90f-726bd6344e96.jpeg";"000000000000000000000002";"26.0";"Point";"Thu Jul 16 13:50:00 CEST 2020";"1.8";"5f103ee8d2e41ca86d59a6bc";"0"
"4.006999969482422";"";"1";"9.2041286";"Fri Jul 24 09:20:36 CEST 2020";"Fri Jul 24 09:20:36 CEST 2020";"WGS 84";"";"";"uploads/3ccd6f9f-5dab-4676-b340-1f2a15de8d8d.jpeg";"000000000000000000000001";"16.3";"Point";"Fri Jul 24 09:20:36 CEST 2020";"1.0";"5f1a8bc4d2e41ca86d59a6be";"0"
